# Aquamentus shove-reset live verify
# Each iter: poke ObjShoveDir=$07 BEFORE frame, log AFTER frame.
# Post-fix: ObjShoveDir should be $00 after frame (reset_shove_info ran).
# Pre-fix:  ObjShoveDir would remain $07 (tail never ran).
# Also log ObjShoveDistance ($04C9+slot), Metastate ($04D8+slot).

iter pre_ShDir pre_ShDist post_ShDir post_ShDist post_Meta
 0 07 10 07 10 00
 1 07 10 07 10 00
 2 07 10 07 10 00
 3 07 10 07 10 00
 4 07 10 07 10 00
 5 07 10 07 10 00
 6 07 10 07 10 00
 7 07 10 07 10 00
 8 07 10 00 10 00
 9 07 10 00 10 00
