=================================================================
CHR Loop Count Probe — 200 frames
=================================================================
Total NMI entries: 0

  NMI#0 ftcb_entry: D2=$00000700 (1792 bytes, 112 tiles) blk=0 frame=36
  NMI#0 ftcb_entry: D2=$00000700 (1792 bytes, 112 tiles) blk=1 frame=38
  NMI#0 ftcb_entry: D2=$000000E0 (224 bytes, 14 tiles) blk=2 frame=40
  NMI#0 ftcb_entry: D2=$00000900 (2304 bytes, 144 tiles) blk=0 frame=40
  NMI#0 ftcb_entry: D2=$00000820 (2080 bytes, 130 tiles) blk=1 frame=43
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=48
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=49
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=50
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=51
