=================================================================
Record Parse Probe — frame 300
=================================================================

Total records parsed: 50
bmi terminator checks: 321 (taken: 0)

--- All parsed records ---
  rec#1 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#2 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#3 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#4 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#5 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#6 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#7 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#8 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#9 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#10 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#11 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#12 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#13 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#14 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#15 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#16 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#17 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#18 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#19 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#20 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#21 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#22 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#23 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#24 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#25 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#26 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#27 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#28 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#29 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#30 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#31 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#32 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#33 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#34 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#35 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#36 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#37 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#38 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#39 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#40 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#41 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#42 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#43 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#44 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#45 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#46 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#47 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#48 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#49 PPU=$0000 A0=$00000000 dispatch_D5=$0000
  rec#50 PPU=$0000 A0=$00000000 dispatch_D5=$0000

--- BMI terminator events ---
  (none)

--- .ttf_done events ---
  done#1 D0=$00 A0=$00000000
  done#2 D0=$00 A0=$00000000
  done#3 D0=$00 A0=$00000000
  done#4 D0=$00 A0=$00000000
  done#5 D0=$00 A0=$00000000
  done#6 D0=$00 A0=$00000000
  done#7 D0=$00 A0=$00000000
  done#8 D0=$00 A0=$00000000
  done#9 D0=$00 A0=$00000000
  done#10 D0=$00 A0=$00000000
  done#11 D0=$00 A0=$00000000
  done#12 D0=$00 A0=$00000000
  done#13 D0=$00 A0=$00000000
  done#14 D0=$00 A0=$00000000
  done#15 D0=$00 A0=$00000000
  done#16 D0=$00 A0=$00000000
  done#17 D0=$00 A0=$00000000
  done#18 D0=$00 A0=$00000000
  done#19 D0=$00 A0=$00000000
  done#20 D0=$00 A0=$00000000
  done#21 D0=$00 A0=$00000000
  done#22 D0=$00 A0=$00000000
  done#23 D0=$00 A0=$00000000
  done#24 D0=$00 A0=$00000000
  done#25 D0=$00 A0=$00000000
  done#26 D0=$00 A0=$00000000
  done#27 D0=$00 A0=$00000000
  done#28 D0=$00 A0=$00000000
  done#29 D0=$00 A0=$00000000
  done#30 D0=$00 A0=$00000000
  done#31 D0=$00 A0=$00000000
  done#32 D0=$00 A0=$00000000
  done#33 D0=$00 A0=$00000000
  done#34 D0=$00 A0=$00000000
  done#35 D0=$00 A0=$00000000
  done#36 D0=$00 A0=$00000000
  done#37 D0=$00 A0=$00000000
  done#38 D0=$00 A0=$00000000
  done#39 D0=$00 A0=$00000000
  done#40 D0=$00 A0=$00000000
  done#41 D0=$00 A0=$00000000
  done#42 D0=$00 A0=$00000000
  done#43 D0=$00 A0=$00000000
  done#44 D0=$00 A0=$00000000
  done#45 D0=$00 A0=$00000000
  done#46 D0=$00 A0=$00000000
  done#47 D0=$00 A0=$00000000
  done#48 D0=$00 A0=$00000000
  done#49 D0=$00 A0=$00000000
  done#50 D0=$00 A0=$00000000
  done#51 D0=$00 A0=$00000000
  done#52 D0=$00 A0=$00000000
  done#53 D0=$00 A0=$00000000
  done#54 D0=$00 A0=$00000000
  done#55 D0=$00 A0=$00000000
  done#56 D0=$00 A0=$00000000
  done#57 D0=$00 A0=$00000000
  done#58 D0=$00 A0=$00000000
  done#59 D0=$00 A0=$00000000
  done#60 D0=$00 A0=$00000000
  done#61 D0=$00 A0=$00000000
  done#62 D0=$00 A0=$00000000
  done#63 D0=$00 A0=$00000000
  done#64 D0=$00 A0=$00000000
  done#65 D0=$00 A0=$00000000
  done#66 D0=$00 A0=$00000000
  done#67 D0=$00 A0=$00000000
  done#68 D0=$00 A0=$00000000
  done#69 D0=$00 A0=$00000000
  done#70 D0=$00 A0=$00000000
  done#71 D0=$00 A0=$00000000
  done#72 D0=$00 A0=$00000000
  done#73 D0=$00 A0=$00000000
  done#74 D0=$00 A0=$00000000
  done#75 D0=$00 A0=$00000000
  done#76 D0=$00 A0=$00000000
  done#77 D0=$00 A0=$00000000
  done#78 D0=$00 A0=$00000000
  done#79 D0=$00 A0=$00000000
  done#80 D0=$00 A0=$00000000
  done#81 D0=$00 A0=$00000000
  done#82 D0=$00 A0=$00000000
  done#83 D0=$00 A0=$00000000
  done#84 D0=$00 A0=$00000000
  done#85 D0=$00 A0=$00000000
  done#86 D0=$00 A0=$00000000
  done#87 D0=$00 A0=$00000000
  done#88 D0=$00 A0=$00000000
  done#89 D0=$00 A0=$00000000
  done#90 D0=$00 A0=$00000000
  done#91 D0=$00 A0=$00000000
  done#92 D0=$00 A0=$00000000
  done#93 D0=$00 A0=$00000000
  done#94 D0=$00 A0=$00000000
