# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
0,VBlankISR,1,96,96,127841
0,IsrNmi,1,1056,1056,127841
0,UpdateMode,1,264,264,127841
0,TransferCurTileBuf,1,120,120,127841
0,music_tick,2,464,232,127841
0,UpdatePlayer,1,320,320,127841
0,UpdateObject,5,5920,1184,127841
0,CheckMonsterCollisions,2,656,328,127841
0,MoveObject,4,736,184,127841
0,Walker_Move,3,2760,920,127841
0,Walker_CheckTileCollision,3,1272,424,127841
0,UpdateMoblin,2,1040,520,127841
0,UpdateArrowOrBoomerang,2,2000,1000,127841
0,AnimateAndDrawObjectWalking,2,2160,1080,127841
0,GetCollidableTile,2,2160,1080,127841
0,_oam_dma_flush,1,232,232,127841
0,_ags_flush,2,192,96,127841
0,_ags_prearm,1,40,40,127841
0,DriveAudio,1,8,8,127841
0,_tick,1,127841,127841,127841
1,VBlankISR,1,96,96,127841
1,IsrNmi,1,1056,1056,127841
1,UpdateMode,1,264,264,127841
1,TransferCurTileBuf,1,120,120,127841
1,music_tick,1,232,232,127841
1,UpdatePlayer,1,320,320,127841
1,UpdateObject,5,5920,1184,127841
1,CheckMonsterCollisions,2,656,328,127841
1,MoveObject,4,736,184,127841
1,Walker_Move,3,2760,920,127841
1,Walker_CheckTileCollision,3,1272,424,127841
1,UpdateMoblin,2,1040,520,127841
1,UpdateArrowOrBoomerang,2,2000,1000,127841
1,AnimateAndDrawObjectWalking,2,2160,1080,127841
1,GetCollidableTile,2,2160,1080,127841
1,_oam_dma_flush,1,232,232,127841
1,_ags_prearm,1,40,40,127841
1,DriveAudio,1,8,8,127841
1,_tick,1,127841,127841,127841
2,VBlankISR,1,96,96,127841
2,IsrNmi,1,1056,1056,127841
2,UpdateMode,1,264,264,127841
2,TransferCurTileBuf,1,120,120,127841
2,music_tick,1,232,232,127841
2,UpdatePlayer,1,320,320,127841
2,UpdateObject,5,5920,1184,127841
2,CheckMonsterCollisions,2,656,328,127841
2,MoveObject,4,736,184,127841
2,Walker_Move,3,2760,920,127841
2,Walker_CheckTileCollision,3,1272,424,127841
2,UpdateMoblin,2,1040,520,127841
2,UpdateArrowOrBoomerang,2,2000,1000,127841
2,AnimateAndDrawObjectWalking,2,2160,1080,127841
2,GetCollidableTile,2,2160,1080,127841
2,_oam_dma_flush,1,232,232,127841
2,_ags_flush,2,192,96,127841
2,_ags_prearm,1,40,40,127841
2,DriveAudio,1,8,8,127841
2,_tick,1,127841,127841,127841
3,VBlankISR,1,96,96,127841
3,IsrNmi,1,1056,1056,127841
3,UpdateMode,1,264,264,127841
3,TransferCurTileBuf,1,120,120,127841
3,music_tick,1,232,232,127841
3,UpdatePlayer,1,320,320,127841
3,UpdateObject,5,5920,1184,127841
3,CheckMonsterCollisions,2,656,328,127841
3,MoveObject,4,736,184,127841
3,Walker_Move,3,2760,920,127841
3,Walker_CheckTileCollision,3,1272,424,127841
3,UpdateMoblin,2,1040,520,127841
3,UpdateArrowOrBoomerang,2,2000,1000,127841
3,AnimateAndDrawObjectWalking,2,2160,1080,127841
