nesFrom,nesTo,genFrom,genTo,segment,class,curVScroll,demoLineTextIndex,lineCounter,lineDst,switchReq,nesShiftY,genShiftY,shiftDelta,nesResidual,genResidual,nesTitleShiftY,genTitleShiftY,nesLineWrite,genLineWrite
977,978,1030,1031,subphase_entry,ok,00,00,00,0000,00,0,0,0,0.00000,0.00000,0,0,0,0
1699,1700,1756,1757,subphase_entry,ok,08,00,00,2900,00,0,0,0,0.00000,0.00000,0,0,0,0
1699,1700,1757,1758,first_section_scroll,ok,08,00,00,2900,00,0,0,0,0.00000,0.00000,0,0,0,0
1700,1701,1758,1759,first_section_scroll,ok,09,00,01,2900,00,0,0,0,0.00000,0.00000,0,0,0,0
1701,1702,1759,1760,first_section_scroll,display_timing,09,00,01,2900,00,-1,0,1,0.00000,0.00000,-1,0,0,0
1702,1703,1760,1761,first_section_scroll,display_timing,0A,00,02,2900,00,0,-1,-1,0.00000,0.00000,0,-1,0,0
1703,1704,1761,1762,first_section_scroll,display_timing,0A,00,02,2900,00,-1,0,1,0.00000,0.00000,-1,0,0,0
1704,1705,1762,1763,first_section_scroll,display_timing,0B,00,03,2900,00,0,-1,-1,0.00000,0.00000,0,-1,0,0
1705,1706,1763,1764,first_section_scroll,display_timing,0B,00,03,2900,00,-1,0,1,0.00000,0.00000,-1,0,0,0
1706,1707,1764,1765,first_section_scroll,display_timing,0C,00,04,2900,00,0,-1,-1,0.00000,0.00000,0,-1,0,0
1707,1708,1765,1766,first_section_scroll,display_timing,0C,00,04,2900,00,-1,0,1,0.00000,0.00000,-1,0,0,0
1708,1709,1766,1767,first_section_scroll,display_timing,0D,00,05,2900,00,0,-1,-1,0.00000,0.00000,0,-1,0,0
1709,1710,1767,1768,first_section_scroll,display_timing,0D,00,05,2900,00,-1,0,1,0.00000,0.00000,-1,0,0,0
1710,1711,1768,1769,first_section_scroll,display_timing,0E,00,06,2900,00,0,-1,-1,0.00000,0.00000,0,-1,0,0
1711,1712,1769,1770,first_section_scroll,display_timing,0E,00,06,2900,00,-1,0,1,0.00000,0.00000,-1,0,0,0
1712,1713,1770,1771,first_section_scroll,display_timing,0F,00,07,2900,00,0,-1,-1,0.00000,0.00000,0,-1,0,0
1713,1714,1771,1772,first_section_scroll,display_timing,0F,00,07,2900,00,-1,0,1,0.00000,0.00000,-1,0,0,0
1714,1715,1772,1773,first_section_line_write,display_timing,10,01,08,2920,00,0,-1,-1,0.00000,0.00000,0,-1,1,1
1715,1716,1773,1774,first_section_scroll,display_timing,10,01,08,2920,00,-1,0,1,0.00000,0.00000,-1,0,0,0
1716,1717,1774,1775,first_section_scroll,display_timing,11,01,09,2920,00,0,-1,-1,0.00000,0.00000,0,-1,0,0
