# semantic alignment: best_k=59 ratio=0.938 growing_drift=False
nes_f,gen_f,meanRaw,meanShifted,maskRaw,maskShifted,topBandMax,midBandMax,botBandMax,vsram0,gen_curV,nes_scrl_x,nes_scrl_y
850,909,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
851,910,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
852,911,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
853,912,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
854,913,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
855,914,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
856,915,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
857,916,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
858,917,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
859,918,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
860,919,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
861,920,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
862,921,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
863,922,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
864,923,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
865,924,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
866,925,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
867,926,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
868,927,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
869,928,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
870,929,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
871,930,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
872,931,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
873,932,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
874,933,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
875,934,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
876,935,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
877,936,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
878,937,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
879,938,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
880,939,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
881,940,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
882,941,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
883,942,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
884,943,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
885,944,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
886,945,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
887,946,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
888,947,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
889,948,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
890,949,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
891,950,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
892,951,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
893,952,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
894,953,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
895,954,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
896,955,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
897,956,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
898,957,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
899,958,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
900,959,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
901,960,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
902,961,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
903,962,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
904,963,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
905,964,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
906,965,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
907,966,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
908,967,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
909,968,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
910,969,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
911,970,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
912,971,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
913,972,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
914,973,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
915,974,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
916,975,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
917,976,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
918,977,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
919,978,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
920,979,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
921,980,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
922,981,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
923,982,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
924,983,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
925,984,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
926,985,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
927,986,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
928,987,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
929,988,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
930,989,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
931,990,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
932,991,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
933,992,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
934,993,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
935,994,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
936,995,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
937,996,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
938,997,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
939,998,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
940,999,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
941,1000,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
942,1001,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
943,1002,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
944,1003,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
945,1004,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
946,1005,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
947,1006,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
948,1007,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
949,1008,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
950,1009,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
951,1010,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
952,1011,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
953,1012,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
954,1013,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
955,1014,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
956,1015,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
957,1016,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
958,1017,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
959,1018,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
960,1019,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
961,1020,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
962,1021,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
963,1022,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
964,1023,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
965,1024,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
966,1025,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
967,1026,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
968,1027,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
969,1028,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
970,1029,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0028,00,FF,FF
971,1030,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0008,00,FF,FF
972,1031,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0009,00,FF,FF
973,1032,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0118,10,FF,FF
974,1033,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0118,10,FF,FF
975,1034,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0118,10,FF,FF
976,1035,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0118,10,FF,FF
977,1036,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0118,10,FF,FF
978,1037,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0118,10,FF,FF
979,1038,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0118,10,FF,FF
980,1039,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0118,10,FF,FF
981,1040,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0128,11,FF,FF
982,1041,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0128,11,FF,FF
983,1042,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0129,12,FF,FF
984,1043,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0129,12,FF,FF
985,1044,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012A,13,FF,FF
986,1045,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012A,13,FF,FF
987,1046,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012B,14,FF,FF
988,1047,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012B,14,FF,FF
989,1048,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012C,15,FF,FF
990,1049,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012C,15,FF,FF
991,1050,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012D,16,FF,FF
992,1051,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012D,16,FF,FF
993,1052,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012E,17,FF,FF
994,1053,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012E,17,FF,FF
995,1054,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012F,18,FF,FF
996,1055,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,012F,18,FF,FF
997,1056,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0130,19,FF,FF
998,1057,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0130,19,FF,FF
999,1058,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0131,1A,FF,FF
1000,1059,0.00,0.00,0.00000,0.00000,0.00,0.00,0.00,0131,1A,FF,FF
