# label=gen_late system=GEN start=2668 end=2688
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent
2668,00,01,02,DF,00,B2,00,01F7,00,DE,09,01,C7,38,80,28,C8,2B,00,00,00,01,00,00,00,0000,00,08,01F7,01,02,02,08,01D7,01F7,08,02,02,01D7,01F7
2669,00,01,02,DF,00,B2,00,01F7,00,DF,09,01,C7,38,80,28,C8,2B,00,00,00,01,00,00,00,0000,00,08,01F7,01,02,02,07,01D8,01F8,08,02,02,01D7,01F7
2670,00,01,02,E0,00,B2,00,01F8,00,DF,09,01,C8,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,07,01F8,01,02,00,00,01F8,01F8,07,03,02,01D8,01F8
2671,00,01,02,E0,00,32,00,01F8,00,E0,09,01,C8,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,07,01F8,00,00,00,00,01F8,01F8,00,03,03,01F8,01F8
2672,00,01,02,E1,00,B2,00,01F9,00,E0,09,01,C9,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,06,01F9,01,02,02,06,01D9,01F9,06,02,02,01D9,01F9
2673,00,01,02,E1,00,B2,00,01F9,00,E1,09,01,C9,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,06,01F9,01,02,02,05,01DA,01FA,06,02,02,01D9,01F9
2674,00,01,02,E2,00,B2,00,01FA,00,E1,09,01,CA,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,05,01FA,01,02,02,05,01DA,01FA,05,02,02,01DA,01FA
2675,00,01,02,E2,00,B2,00,01FA,00,E2,09,01,CA,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,05,01FA,01,02,02,04,01DB,01FB,05,02,02,01DA,01FA
2676,00,01,02,E3,00,B2,00,01FB,00,E2,09,01,CB,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,04,01FB,01,02,02,04,01DB,01FB,04,02,02,01DB,01FB
2677,00,01,02,E3,00,B2,00,01FB,00,E3,09,01,CB,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,04,01FB,01,02,02,03,01DC,01FC,04,02,02,01DB,01FB
2678,00,01,02,E4,00,B2,00,01FC,00,E3,09,01,CC,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,03,01FC,01,02,02,03,01DC,01FC,03,02,02,01DC,01FC
2679,00,01,02,E4,00,B2,00,01FC,00,E4,09,01,CC,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,03,01FC,01,02,02,02,01DD,01FD,03,02,02,01DC,01FC
2680,00,01,02,E5,00,B2,00,01FD,00,E4,09,01,CD,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,02,01FD,01,02,02,02,01DD,01FD,02,02,02,01DD,01FD
2681,00,01,02,E5,00,B2,00,01FD,00,E5,09,01,CD,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,02,01FD,01,02,02,01,01DE,01FE,02,02,02,01DD,01FD
2682,00,01,02,E6,00,B2,00,01FE,00,E5,09,01,CE,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,01,01FE,01,02,02,01,01DE,01FE,01,02,02,01DE,01FE
2683,00,01,02,E6,00,B2,00,01FE,00,E6,09,01,CE,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,01,01FE,01,02,02,00,01DF,01FF,01,02,02,01DE,01FE
2684,00,01,02,E7,00,B2,00,01FF,00,E6,09,01,CF,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,00,01FF,01,02,02,00,01DF,01FF,00,02,02,01DF,01FF
2685,00,01,02,E7,00,B2,00,01FF,00,E7,09,01,CF,39,A0,28,D0,2B,00,00,00,01,00,00,00,0000,00,00,01FF,01,02,02,17,0000,01FF,00,04,02,01DF,01FF
2686,00,01,02,E8,00,B2,00,01FF,00,E7,0A,01,D0,3A,C0,28,D0,2B,00,00,00,01,00,00,00,0000,00,17,01FF,01,02,00,00,0000,0000,17,02,04,0000,01FF
2687,00,01,02,E8,00,B2,00,0000,00,E8,0A,01,D0,3A,C0,28,D0,2B,00,00,00,01,00,00,00,0000,00,17,01FF,00,00,00,00,0001,0001,00,02,02,0000,0000
2688,00,01,02,E9,00,B2,00,0001,00,E8,0A,01,D1,3A,C0,28,D0,2B,00,00,00,01,00,00,00,0000,00,17,01FF,00,00,00,00,0001,0001,00,02,02,0001,0001
