# label=gen_short system=GEN start=1458 end=1473
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent
1458,00,01,00,E2,00,B2,00,01F9,00,E1,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01F9,01F9,00,01,01,01F9,01F9
1459,00,01,00,E2,00,B2,00,01F9,00,E2,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FA,01FA,00,01,01,01F9,01F9
1460,00,01,00,E3,00,B2,00,01FA,00,E2,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FA,01FA,00,01,01,01FA,01FA
1461,00,01,00,E3,00,B2,00,01FA,00,E3,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FB,01FB,00,01,01,01FA,01FA
1462,00,01,00,E4,00,B2,00,01FB,00,E3,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FB,01FB,00,01,01,01FB,01FB
1463,00,01,00,E4,00,B2,00,01FB,00,E4,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FC,01FC,00,01,01,01FB,01FB
1464,00,01,00,E5,00,B2,00,01FC,00,E4,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FC,01FC,00,01,01,01FC,01FC
1465,00,01,00,E5,00,B2,00,01FC,00,E5,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FD,01FD,00,01,01,01FC,01FC
1466,00,01,00,E6,00,B2,00,01FD,00,E5,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FD,01FD,00,01,01,01FD,01FD
1467,00,01,00,E6,00,B2,00,01FD,00,E6,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FE,01FE,00,01,01,01FD,01FD
1468,00,01,00,E7,00,B2,00,01FE,00,E6,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FE,01FE,00,01,01,01FE,01FE
1469,00,01,00,E7,00,B2,00,01FE,00,E7,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FF,01FF,00,01,01,01FE,01FE
1470,00,01,00,E8,00,B2,00,01FF,00,E7,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FF,01FF,00,01,01,01FF,01FF
1471,00,01,00,E8,00,B2,00,01FF,00,E8,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0000,0000,00,01,01,01FF,01FF
1472,00,01,00,E9,00,B2,00,0000,00,E8,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0000,0000,00,01,01,0000,0000
1473,00,01,00,E9,00,B2,00,0000,00,E9,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0001,0001,00,01,01,0000,0000
