# label=gen_short2 system=GEN start=1468 end=1492
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent
1468,00,01,00,E7,00,B2,00,01FE,00,E6,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FE,01FE,00,01,01,01FE,01FE
1469,00,01,00,E7,00,B2,00,01FE,00,E7,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FF,01FF,00,01,01,01FE,01FE
1470,00,01,00,E8,00,B2,00,01FF,00,E7,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,01FF,01FF,00,01,01,01FF,01FF
1471,00,01,00,E8,00,B2,00,01FF,00,E8,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0000,0000,00,01,01,01FF,01FF
1472,00,01,00,E9,00,B2,00,0000,00,E8,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0000,0000,00,01,01,0000,0000
1473,00,01,00,E9,00,B2,00,0000,00,E9,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0001,0001,00,01,01,0000,0000
1474,00,01,00,EA,00,B2,00,0001,00,E9,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0001,0001,00,01,01,0001,0001
1475,00,01,00,EA,00,B2,00,0001,00,EA,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0002,0002,00,01,01,0001,0001
1476,00,01,00,EB,00,B2,00,0002,00,EA,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0002,0002,00,01,01,0002,0002
1477,00,01,00,EB,00,B2,00,0002,00,EB,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0003,0003,00,01,01,0002,0002
1478,00,01,00,EC,00,B2,00,0003,00,EB,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0003,0003,00,01,01,0003,0003
1479,00,01,00,EC,00,B2,00,0003,00,EC,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0004,0004,00,01,01,0003,0003
1480,00,01,00,ED,00,B2,00,0004,00,EC,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0004,0004,00,01,01,0004,0004
1481,00,01,00,ED,00,B2,00,0004,00,ED,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0005,0005,00,01,01,0004,0004
1482,00,01,00,EE,00,B2,00,0005,00,ED,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0005,0005,00,01,01,0005,0005
1483,00,01,00,EE,00,B2,00,0005,00,EE,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0006,0006,00,01,01,0005,0005
1484,00,01,00,EF,00,B2,00,0006,00,EE,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0006,0006,00,01,01,0006,0006
1485,00,01,00,EF,00,B2,00,0006,00,EF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0007,0007,00,01,01,0006,0006
1486,00,01,00,00,00,B2,01,0007,00,EF,00,01,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0007,0007,00,01,01,0007,0007
1487,00,01,00,00,00,B0,00,0007,00,00,00,01,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0007,0007,00,01,01,0007,0007
1488,00,01,00,01,00,B0,00,0007,00,00,00,01,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,01,01,0007,0007
1489,00,01,00,01,00,B0,00,0008,00,01,00,01,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,01,01,0008,0008
1490,00,01,00,02,00,B0,00,0008,00,01,00,01,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0009,0009,00,01,01,0008,0008
1491,00,01,00,02,00,B0,00,0009,00,02,00,01,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0009,0009,00,01,01,0009,0009
1492,00,01,00,03,00,B0,00,0009,00,02,00,01,00,00,00,00,00,00,00,00,00,01,00,00,00,0000,00,00,0000,00,00,00,00,000A,000A,00,01,01,0009,0009
