frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuScrlX,ppuScrlY,demoLineTextIndex,lineCounter,lineAttrIndex,lineDst,attrDst,switchReq,hintQCount,hintQ0Ctr,hintQ0Vsram,hintQ1Ctr,hintQ1Vsram,hintPendSplit,introScrollMode,activeBase,activeEvent,activeHintCtr,stagedSegment,activeSegment,vsram0,vsram1,screenshot
1458,00,01,00,E2,00,00,E1,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FA,01FA,00,01,01,01FA,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01458.png
1459,00,01,00,E2,00,00,E2,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01F9,01F9,00,01,01,01F9,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01459.png
1460,00,01,00,E3,00,00,E2,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FB,01FB,00,01,01,01FB,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01460.png
1461,00,01,00,E3,00,00,E3,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FA,01FA,00,01,01,01FA,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01461.png
1462,00,01,00,E4,00,00,E3,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FC,01FC,00,01,01,01FC,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01462.png
1463,00,01,00,E4,00,00,E4,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FB,01FB,00,01,01,01FB,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01463.png
1464,00,01,00,E5,00,00,E4,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FD,01FD,00,01,01,01FD,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01464.png
1465,00,01,00,E5,00,00,E5,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FC,01FC,00,01,01,01FC,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01465.png
1466,00,01,00,E6,00,00,E5,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FE,01FE,00,01,01,01FE,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01466.png
1467,00,01,00,E6,00,00,E6,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FD,01FD,00,01,01,01FD,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01467.png
1468,00,01,00,E7,00,00,E6,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FF,01FF,00,01,01,01FF,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01468.png
1469,00,01,00,E7,00,00,E7,00,00,00,0000,0000,00,00,00,0000,00,0000,00,00,01FE,01FE,00,01,01,01FE,0000,C:/Users/Jake Diggity/Documents/GitHub/FINAL TRY/builds/reports/intro_jump_probe/gen_f01469.png
