# label=nes system=NES start=850 end=3200
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent
850,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,7D,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
851,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,7C,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
852,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,7B,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
853,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,7A,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
854,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,79,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
855,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,78,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
856,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,77,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
857,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,76,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
858,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,75,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
859,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,74,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
860,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,73,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
861,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,72,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
862,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,71,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
863,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,70,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
864,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,6F,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
865,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,6E,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
866,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,6D,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
867,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,6C,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
868,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,6B,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
869,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,6A,00,01,00,00,00,FFFF,FF,FF,FFFF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF
