# label=gen system=GEN start=850 end=3000
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,enterStep,updateCount,handoffMark,substage,nmiProbe,ppuCtrlGate
850,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,AF,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,08,B0
851,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,AE,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,09,B0
852,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,AD,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,0A,B0
853,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,AC,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,0B,B0
854,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,AB,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,0C,B0
855,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,AA,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,0D,B0
856,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A9,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,0E,B0
857,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A8,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,0F,B0
858,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A7,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,10,B0
859,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A6,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,11,B0
860,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A5,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,12,B0
861,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A4,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,13,B0
862,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A3,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,14,B0
863,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A2,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,15,B0
864,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A1,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,16,B0
865,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,A0,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,17,B0
866,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,9F,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,18,B0
867,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,9E,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,19,B0
868,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,9D,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,1A,B0
869,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,9C,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,1B,B0
870,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,9B,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,1C,B0
871,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,9A,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,1D,B0
872,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,99,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,1E,B0
873,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,98,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,1F,B0
874,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,97,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,20,B0
875,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,96,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,21,B0
876,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,95,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,22,B0
877,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,94,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,23,B0
878,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,93,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,24,B0
879,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,92,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,25,B0
880,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,91,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,26,B0
881,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,90,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,27,B0
882,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,8F,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,28,B0
883,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,8E,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,29,B0
884,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,8D,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,2A,B0
885,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,8C,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,2B,B0
886,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,8B,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,2C,B0
887,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,8A,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,2D,B0
888,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,89,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,2E,B0
889,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,88,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,2F,B0
