frame,gameMode,phase,subphase,curVScroll,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDst,attrDst,switchReq,subphase2Hits,lineRecordHit,demoLineSelected,planeLineDst,attrRecordHit,attrLineDst,lineAdvanced,attrAdvanced,ntWrapped
850,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
851,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
852,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
853,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
854,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
855,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
856,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
857,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
858,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
859,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
860,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
861,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
862,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
863,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
864,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
865,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
866,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
867,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
868,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
869,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
870,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
871,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
872,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
873,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
874,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
875,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
876,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
877,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
878,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
879,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
880,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
881,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
882,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
883,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
884,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
885,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
886,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
887,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
888,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
889,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
890,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
891,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
892,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
893,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
894,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
895,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
896,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
897,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
898,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
899,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
900,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
901,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
902,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
903,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
904,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
905,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
906,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
907,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
908,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
909,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
910,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
911,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
912,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
913,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
914,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
915,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
