nesFrame,genFrame,segment,classification,maskRaw,curVScroll,demoLineTextIndex,lineCounter,lineDst,attrDst,switchReq,vsram0,hintQCount,hintPendSplit,introScrollMode,genFirstRow,genTitleRow,nesFirstRow,nesTitleRow,contentMatch,lineDstNes,attrDstNes
2627,2685,full_scroll,display_bug,0.04211,E8,0A,D0,28C0,2BD0,00,01DF,00,00,00,1,17,1,81,1,28C0,2BD0
2626,2684,full_scroll,display_bug,0.04203,E7,09,CF,28A0,2BD0,00,01DF,00,00,00,2,18,2,81,1,28A0,2BD0
2625,2683,full_scroll,display_bug,0.04164,E7,09,CF,28A0,2BD0,00,01DE,00,00,00,2,18,2,82,1,28A0,2BD0
2624,2682,full_scroll,display_bug,0.04093,E6,09,CE,28A0,2BD0,00,01DE,00,00,00,3,19,3,82,1,28A0,2BD0
2623,2681,full_scroll,display_bug,0.04072,E6,09,CE,28A0,2BD0,00,01DD,00,00,00,3,20,3,83,1,28A0,2BD0
2622,2680,full_scroll,display_bug,0.04058,E5,09,CD,28A0,2BD0,00,01DD,00,00,00,4,20,4,83,1,28A0,2BD0
2621,2679,full_scroll,display_bug,0.04020,E5,09,CD,28A0,2BD0,00,01DC,00,00,00,4,20,4,84,1,28A0,2BD0
2620,2678,full_scroll,display_bug,0.04009,E4,09,CC,28A0,2BD0,00,01DC,00,00,00,5,21,5,84,1,28A0,2BD0
2619,2677,full_scroll,display_bug,0.03910,E4,09,CC,28A0,2BD0,00,01DB,00,00,00,5,22,5,85,1,28A0,2BD0
2618,2676,full_scroll,display_bug,0.03884,E3,09,CB,28A0,2BD0,00,01DB,00,00,00,6,22,6,85,1,28A0,2BD0
2617,2675,full_scroll,display_bug,0.03882,E3,09,CB,28A0,2BD0,00,01DA,00,00,00,6,22,6,86,1,28A0,2BD0
2616,2674,full_scroll,display_bug,0.03850,E2,09,CA,28A0,2BD0,00,01DA,00,00,00,7,23,7,86,1,28A0,2BD0
2615,2673,full_scroll,display_bug,0.03807,E2,09,CA,28A0,2BD0,00,01D9,00,00,00,7,23,7,87,1,28A0,2BD0
2613,2671,full_scroll,display_bug,0.03786,E1,09,C9,28A0,2BD0,00,01D8,00,00,00,9,25,8,88,1,28A0,2BD0
2614,2672,full_scroll,display_bug,0.03755,E1,09,C9,28A0,2BD0,00,01D9,00,00,00,8,24,8,87,1,28A0,2BD0
2607,2665,full_scroll,display_bug,0.03741,DE,09,C6,2880,2BC8,00,01D5,00,00,00,11,27,11,91,1,2880,2BC8
2603,2661,full_scroll,display_bug,0.03741,DC,09,C4,2880,2BC8,00,01D3,00,00,00,13,29,13,93,1,2880,2BC8
2581,2639,full_scroll,display_bug,0.03741,D1,09,B9,2860,2BC8,00,01C8,00,00,00,24,0,24,0,1,2860,2BC8
2611,2669,full_scroll,display_bug,0.03723,E0,09,C8,28A0,2BD0,00,01D7,00,00,00,9,25,9,89,1,28A0,2BD0
2593,2651,full_scroll,display_bug,0.03721,D7,09,BF,2860,2BC8,00,01CE,00,00,00,18,34,18,49,1,2860,2BC8
2612,2670,full_scroll,display_bug,0.03718,E0,09,C8,28A0,2BD0,00,01D8,00,00,00,9,25,9,88,1,28A0,2BD0
2598,2656,full_scroll,display_bug,0.03718,D9,09,C1,2880,2BC8,00,01D1,00,00,00,16,32,16,95,1,2880,2BC8
2608,2666,full_scroll,display_bug,0.03716,DE,09,C6,2880,2BC8,00,01D6,00,00,00,11,27,11,90,1,2880,2BC8
2602,2660,full_scroll,display_bug,0.03714,DB,09,C3,2880,2BC8,00,01D3,00,00,00,14,30,14,93,1,2880,2BC8
2597,2655,full_scroll,display_bug,0.03700,D9,09,C1,2880,2BC8,00,01D0,00,00,00,16,32,16,96,1,2880,2BC8
2606,2664,full_scroll,display_bug,0.03697,DD,09,C5,2880,2BC8,00,01D5,00,00,00,12,28,12,91,1,2880,2BC8
2610,2668,full_scroll,display_bug,0.03690,DF,09,C7,2880,2BC8,00,01D7,00,00,00,10,26,10,89,1,2880,2BC8
2588,2646,full_scroll,display_bug,0.03690,D4,09,BC,2860,2BC8,00,01CC,00,00,00,21,37,21,51,1,2860,2BC8
2609,2667,full_scroll,display_bug,0.03681,DF,09,C7,2880,2BC8,00,01D6,00,00,00,10,26,10,90,1,2880,2BC8
2601,2659,full_scroll,display_bug,0.03680,DB,09,C3,2880,2BC8,00,01D2,00,00,00,14,30,14,94,1,2880,2BC8
2599,2657,full_scroll,display_bug,0.03674,DA,09,C2,2880,2BC8,00,01D1,00,00,00,15,31,15,95,1,2880,2BC8
2605,2663,full_scroll,display_bug,0.03673,DD,09,C5,2880,2BC8,00,01D4,00,00,00,12,28,12,92,1,2880,2BC8
2592,2650,full_scroll,display_bug,0.03673,D6,09,BE,2860,2BC8,00,01CE,00,00,00,19,35,19,49,1,2860,2BC8
2589,2647,full_scroll,display_bug,0.03673,D5,09,BD,2860,2BC8,00,01CC,00,00,00,20,36,20,51,1,2860,2BC8
2583,2641,full_scroll,display_bug,0.03673,D2,09,BA,2860,2BC8,00,01C9,00,00,00,23,39,23,54,1,2860,2BC8
2604,2662,full_scroll,display_bug,0.03669,DC,09,C4,2880,2BC8,00,01D4,00,00,00,13,29,13,92,1,2880,2BC8
2600,2658,full_scroll,display_bug,0.03669,DA,09,C2,2880,2BC8,00,01D2,00,00,00,15,31,15,94,1,2880,2BC8
2596,2654,full_scroll,display_bug,0.03669,D8,09,C0,2880,2BC8,00,01D0,00,00,00,17,33,17,96,1,2880,2BC8
2595,2653,full_scroll,display_bug,0.03669,D8,09,C0,2880,2BC8,00,01CF,00,00,00,17,33,17,48,1,2880,2BC8
2594,2652,full_scroll,display_bug,0.03669,D7,09,BF,2860,2BC8,00,01CF,00,00,00,18,34,18,48,1,2860,2BC8
2591,2649,full_scroll,display_bug,0.03669,D6,09,BE,2860,2BC8,00,01CD,00,00,00,19,35,19,50,1,2860,2BC8
2590,2648,full_scroll,display_bug,0.03669,D5,09,BD,2860,2BC8,00,01CD,00,00,00,20,36,20,50,1,2860,2BC8
2587,2645,full_scroll,display_bug,0.03669,D4,09,BC,2860,2BC8,00,01CB,00,00,00,21,37,21,52,1,2860,2BC8
2586,2644,full_scroll,display_bug,0.03669,D3,09,BB,2860,2BC8,00,01CB,00,00,00,22,38,22,52,1,2860,2BC8
2585,2643,full_scroll,display_bug,0.03669,D3,09,BB,2860,2BC8,00,01CA,00,00,00,22,38,22,53,1,2860,2BC8
