curV,nextCurV,lineCounter,nextLineCounter,textIndex,nextTextIndex,attrIndex,nextAttrIndex,itemRow,nextItemRow,nesFrom,nesTo,genFrom,genTo,nesShiftY,genShiftY,nesRows,genRows,nesFirstRow,genFirstRow,nesLastRow,genLastRow,nesResidual,genResidual,classification
0,0,200,200,16,16,89,89,10,10,3123,3124,3183,3184,1,1,40,50,32,19,167,167,0.545,0.546,motion_mismatch
0,0,216,216,11,11,59,59,6,6,2643,2644,2703,2704,1,1,40,54,16,1,223,223,0.742,0.683,motion_mismatch
0,0,232,232,5,5,29,29,3,3,2163,2164,2223,2224,1,1,33,33,56,56,199,199,0.44,0.414,ok
0,1,200,201,16,16,89,89,10,10,3124,3125,3184,3185,0,0,49,37,8,27,216,223,0.543,0.395,motion_mismatch
0,1,216,217,11,11,59,59,6,6,2644,2645,2704,2705,0,0,48,55,0,1,200,208,0.981,0.834,motion_mismatch
0,1,232,233,5,5,29,29,3,3,2164,2165,2224,2225,0,0,33,33,104,112,184,192,0.453,0.427,ok
1,1,201,201,16,16,89,89,10,10,3125,3126,3185,3186,1,1,41,57,31,16,223,223,0.545,0.347,motion_mismatch
1,1,217,217,11,11,59,59,6,6,2645,2646,2705,2706,1,1,40,54,15,1,222,222,0.649,0.814,motion_mismatch
1,1,233,233,5,5,29,29,3,3,2165,2166,2225,2226,1,1,33,33,55,55,198,198,0.434,0.411,ok
1,2,201,202,16,16,89,89,10,10,3126,3127,3186,3187,0,0,49,51,7,15,215,223,0.543,0.568,ok
1,2,217,218,11,11,59,59,6,6,2646,2647,2706,2707,0,0,39,39,55,63,199,207,0.646,0.548,ok
1,2,233,234,5,5,29,29,3,3,2166,2167,2226,2227,0,0,33,33,103,111,183,191,0.432,0.409,ok
2,2,202,202,16,16,89,89,10,10,3127,3128,3187,3188,1,1,42,52,30,17,223,223,0.545,0.624,motion_mismatch
2,2,218,218,11,11,59,59,6,6,2647,2648,2707,2708,1,1,40,40,14,14,221,221,0.649,0.55,ok
2,2,234,234,5,5,29,29,3,3,2167,2168,2227,2228,1,1,33,33,54,54,197,197,0.434,0.411,ok
2,3,202,203,16,16,89,89,10,10,3128,3129,3188,3189,0,0,49,49,6,14,214,222,0.543,0.542,ok
2,3,218,219,11,11,59,59,6,6,2648,2649,2708,2709,0,0,39,39,54,62,198,206,0.646,0.548,ok
2,3,234,235,5,5,29,29,3,3,2168,2169,2228,2229,0,0,33,33,102,110,182,190,0.489,0.472,ok
3,3,203,203,16,16,89,89,10,10,3129,3130,3189,3190,1,1,43,49,29,16,223,223,0.545,0.477,motion_mismatch
3,3,219,219,11,11,59,59,6,6,2649,2650,2709,2710,1,1,40,40,13,13,220,220,0.649,0.55,ok
3,3,235,235,5,5,29,29,3,3,2169,2170,2229,2230,1,1,33,33,53,53,196,196,0.427,0.396,ok
3,4,203,204,16,16,89,89,10,10,3130,3131,3190,3191,0,0,49,49,5,13,213,221,0.543,0.48,ok
3,4,219,220,11,11,59,59,6,6,2650,2651,2710,2711,0,0,39,39,53,61,197,205,0.646,0.548,ok
3,4,235,236,5,5,29,29,3,3,2170,2171,2230,2231,0,0,33,33,101,109,181,189,0.425,0.395,ok
4,4,204,204,16,16,89,89,10,10,3131,3132,3191,3192,1,1,44,54,28,15,223,223,0.545,0.566,motion_mismatch
4,4,220,220,11,11,59,59,6,6,2651,2652,2711,2712,1,1,40,40,12,12,219,219,0.649,0.55,ok
4,4,236,236,5,5,29,29,3,3,2171,2172,2231,2232,1,1,33,33,52,52,195,195,0.427,0.396,ok
4,5,204,205,16,16,89,89,10,10,3132,3133,3192,3193,0,0,49,49,4,12,212,220,0.543,0.609,ok
4,5,220,221,11,11,59,59,6,6,2652,2653,2712,2713,0,0,39,39,52,60,196,204,0.646,0.548,ok
4,5,236,237,5,5,29,29,3,3,2172,2173,2232,2233,0,0,33,33,100,108,180,188,0.44,0.41,ok
5,5,205,205,16,16,89,89,10,10,3133,3134,3193,3194,1,1,45,52,27,14,223,223,0.545,0.511,motion_mismatch
5,5,221,221,11,11,59,59,6,6,2653,2654,2713,2714,1,1,40,40,11,11,218,218,0.649,0.55,ok
5,5,237,237,5,5,29,29,3,3,2173,2174,2233,2234,1,1,33,33,51,51,194,194,0.422,0.393,ok
5,6,205,206,16,16,89,89,10,10,3134,3135,3194,3195,0,0,49,49,3,11,211,219,0.543,0.459,ok
5,6,221,222,11,11,59,59,6,6,2654,2655,2714,2715,0,0,39,39,51,59,195,203,0.646,0.548,ok
5,6,237,238,5,5,29,29,3,3,2174,2175,2234,2235,0,0,33,33,99,107,179,187,0.42,0.391,ok
6,6,206,206,16,16,89,89,10,10,3135,3136,3195,3196,1,1,46,53,26,13,223,223,0.545,0.461,motion_mismatch
6,6,222,222,11,11,59,59,6,6,2655,2656,2715,2716,1,1,40,40,10,10,217,217,0.649,0.55,ok
6,6,238,238,5,5,29,29,3,3,2175,2176,2235,2236,1,1,33,33,50,50,193,193,0.422,0.393,ok
6,7,206,207,16,16,89,89,10,10,3136,3137,3196,3197,0,0,49,49,2,10,210,218,0.543,0.561,ok
6,7,222,223,11,11,59,59,6,6,2656,2657,2716,2717,0,0,39,39,50,58,194,202,0.646,0.548,ok
6,7,238,239,5,5,29,29,3,3,2176,2177,2236,2237,0,0,33,33,98,106,178,186,0.489,0.472,ok
7,7,207,207,16,16,89,89,10,10,3137,3138,3197,3198,1,1,47,56,25,12,223,223,0.545,0.557,motion_mismatch
7,7,223,223,11,11,59,59,6,6,2657,2658,2717,2718,1,1,40,40,9,9,216,216,0.649,0.55,ok
7,7,239,239,5,5,29,29,3,3,2177,2178,2237,2238,1,1,33,33,49,49,192,192,0.44,0.414,ok
7,8,207,208,16,17,89,90,10,10,3138,3139,3198,3199,0,0,49,49,1,9,209,217,0.543,0.465,ok
7,8,223,224,11,11,59,60,6,6,2658,2659,2718,2719,0,0,39,39,49,57,193,201,0.646,0.548,ok
7,8,239,240,5,5,29,30,3,3,2178,2179,2238,2239,0,0,33,33,97,105,177,185,0.438,0.412,ok
8,8,208,208,17,17,90,90,10,10,3139,3140,3199,3200,1,1,48,57,24,9,223,223,0.545,0.473,motion_mismatch
8,8,224,224,11,11,60,60,6,6,2659,2660,2719,2720,1,1,40,40,8,8,215,215,0.649,0.55,ok
8,8,240,240,5,5,30,30,3,3,2179,2180,2239,2240,1,1,33,33,48,48,191,191,0.44,0.414,ok
8,9,224,225,11,11,60,60,6,6,2660,2661,2720,2721,0,0,39,39,48,56,192,200,0.646,0.548,ok
8,9,240,241,5,5,30,30,3,3,2180,2181,2240,2241,0,0,33,33,96,104,176,184,0.453,0.427,ok
9,9,225,225,11,11,60,60,6,6,2661,2662,2721,2722,1,1,40,40,7,7,214,214,0.649,0.55,ok
9,9,241,241,5,5,30,30,3,3,2181,2182,2241,2242,1,1,33,33,47,47,190,190,0.434,0.411,ok
9,10,225,226,11,11,60,60,6,6,2662,2663,2722,2723,0,0,39,39,47,55,191,199,0.646,0.548,ok
9,10,241,242,5,5,30,30,3,3,2182,2183,2242,2243,0,0,34,33,95,103,223,183,0.447,0.409,ok
10,10,226,226,11,11,60,60,6,6,2663,2664,2723,2724,1,1,40,40,6,6,213,213,0.649,0.55,ok
10,10,242,242,5,5,30,30,3,3,2183,2184,2243,2244,1,1,33,33,46,46,189,189,0.449,0.411,ok
10,11,226,227,11,11,60,60,6,6,2664,2665,2724,2725,0,0,39,39,46,54,190,198,0.646,0.548,ok
10,11,242,243,5,5,30,30,3,3,2184,2185,2244,2245,0,0,35,33,94,102,223,182,0.518,0.472,ok
11,11,227,227,11,11,60,60,6,6,2665,2666,2725,2726,1,1,40,40,5,5,212,212,0.649,0.55,ok
11,11,243,243,5,5,30,30,3,3,2185,2186,2245,2246,1,1,33,33,45,45,188,188,0.456,0.396,ok
11,12,227,228,11,11,60,60,6,6,2666,2667,2726,2727,0,0,39,39,45,53,189,197,0.646,0.548,ok
11,12,243,244,5,5,30,30,3,3,2186,2187,2246,2247,0,0,36,33,93,101,223,181,0.468,0.395,ok
12,12,228,228,11,11,60,60,6,6,2667,2668,2727,2728,1,1,40,40,4,4,211,211,0.649,0.55,ok
12,12,244,244,5,5,30,30,3,3,2187,2188,2247,2248,1,1,33,33,44,44,187,187,0.471,0.396,ok
12,13,228,229,11,11,60,60,6,6,2668,2669,2728,2729,0,0,39,39,44,52,188,196,0.646,0.548,ok
12,13,244,245,5,5,30,30,3,3,2188,2189,2248,2249,0,0,37,33,92,100,223,180,0.515,0.41,ok
13,13,229,229,11,11,60,60,6,6,2669,2670,2729,2730,1,1,40,40,3,3,210,210,0.649,0.55,ok
13,13,245,245,5,5,30,30,3,3,2189,2190,2249,2250,1,1,33,33,43,43,186,186,0.497,0.393,ok
13,14,229,230,11,11,60,60,6,6,2670,2671,2730,2731,0,0,39,39,43,51,187,195,0.646,0.548,ok
13,14,245,246,5,5,30,30,3,3,2190,2191,2250,2251,0,0,38,33,91,99,223,179,0.518,0.391,motion_mismatch
14,14,230,230,11,11,60,60,6,6,2671,2672,2731,2732,1,1,40,40,2,2,209,209,0.649,0.55,ok
14,14,246,246,5,5,30,30,3,3,2191,2192,2251,2252,1,1,33,33,42,42,185,185,0.52,0.393,ok
14,15,230,231,11,11,60,60,6,6,2672,2673,2732,2733,0,0,39,39,42,50,186,194,0.646,0.548,ok
14,15,246,247,5,5,30,30,3,3,2192,2193,2252,2253,0,0,38,33,90,98,222,178,0.59,0.472,motion_mismatch
15,15,231,231,11,11,60,60,6,6,2673,2674,2733,2734,1,1,40,40,1,1,208,208,0.649,0.55,ok
15,15,247,247,5,5,30,30,3,3,2193,2194,2253,2254,1,1,33,33,41,41,184,184,0.54,0.414,ok
15,16,231,232,11,11,60,61,6,7,2674,2675,2734,2735,0,0,39,39,41,49,185,193,0.646,0.548,ok
15,16,247,248,5,5,30,31,3,3,2194,2195,2254,2255,0,0,38,33,89,97,221,177,0.537,0.412,motion_mismatch
16,16,232,232,11,11,61,61,7,7,2675,2676,2735,2736,1,1,40,40,0,0,207,207,0.649,0.55,ok
16,16,248,248,5,5,31,31,3,3,2195,2196,2255,2256,1,1,33,33,40,40,183,183,0.54,0.414,ok
16,17,232,233,11,11,61,61,7,7,2676,2677,2736,2737,0,0,39,31,40,58,184,192,0.646,0.39,motion_mismatch
16,17,248,249,5,5,31,31,3,3,2196,2197,2256,2257,0,0,38,39,88,96,220,182,0.552,1.413,ok
17,17,233,233,11,11,61,61,7,7,2677,2678,2737,2738,1,1,39,52,0,0,206,206,0.649,0.392,motion_mismatch
17,17,249,249,5,5,31,31,3,3,2197,2198,2257,2258,1,1,33,32,39,39,182,149,0.534,1.58,ok
17,18,233,234,11,11,61,61,7,7,2678,2679,2738,2739,0,0,39,39,39,47,183,191,0.646,0.548,ok
17,18,249,250,5,5,31,31,3,3,2198,2199,2258,2259,0,0,38,35,87,95,219,223,0.532,0.483,ok
18,18,234,234,11,11,61,61,7,7,2679,2680,2739,2740,1,1,38,38,0,0,205,205,0.649,0.55,ok
18,18,250,250,5,5,31,31,3,3,2199,2200,2259,2260,1,1,33,32,38,38,181,149,0.534,0.418,ok
18,19,234,235,11,11,61,61,7,7,2680,2681,2740,2741,0,0,39,39,38,46,182,190,0.646,0.548,ok
18,19,250,251,5,5,31,31,3,3,2200,2201,2260,2261,0,0,38,36,86,94,218,223,0.593,0.58,ok
19,19,235,235,11,11,61,61,7,7,2681,2682,2741,2742,1,1,37,37,0,0,204,204,0.649,0.55,ok
19,19,251,251,5,5,31,31,3,3,2201,2202,2261,2262,1,1,33,33,37,37,180,148,0.526,0.417,ok
19,20,235,236,11,11,61,61,7,7,2682,2683,2742,2743,0,0,39,39,37,45,181,189,0.646,0.548,ok
