# label=nes system=NES ramDomain=nil start=2100 end=3200 step=1
# frame,gameMode,phase,subphase,frameCtr,curVScroll,curHScroll,ppuCtrl,switchReq,tileBufSel,lineCounter,vramHi,vramLo,textIndex,objYTick,vsram0,ppuScrlX,ppuScrlY,hintQCount,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,spriteVisible,attrIndex,itemRow
02100,00,01,02,1C,D0,00,B0,00,00,C8,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02101,00,01,02,1D,D1,00,B0,00,00,C9,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02102,00,01,02,1E,D1,00,B0,00,00,C9,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02103,00,01,02,1F,D2,00,B0,00,00,CA,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02104,00,01,02,20,D2,00,B0,00,00,CA,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02105,00,01,02,21,D3,00,B0,00,00,CB,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02106,00,01,02,22,D3,00,B0,00,00,CB,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02107,00,01,02,23,D4,00,B0,00,00,CC,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02108,00,01,02,24,D4,00,B0,00,00,CC,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
02109,00,01,02,25,D5,00,B0,00,00,CD,20,60,04,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,6,19,02
