# label=gen system=GEN ramDomain=M68K BUS start=2100 end=3200 step=1
# frame,gameMode,phase,subphase,frameCtr,curVScroll,curHScroll,ppuCtrl,switchReq,tileBufSel,lineCounter,vramHi,vramLo,textIndex,objYTick,vsram0,ppuScrlX,ppuScrlY,hintQCount,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,spriteVisible,attrIndex,itemRow
02100,00,01,02,E0,B2,00,B0,00,00,AA,2B,A0,04,00,00BA,00,B2,00,00,00,00,00,00BA,00BA,00,02,02,00BA,00BA,3,15,02
02101,00,01,02,E1,B3,00,B0,00,00,AB,2B,A0,04,00,00BA,00,B2,00,00,00,00,00,00BB,00BB,00,02,02,00BA,00BA,3,15,02
02102,00,01,02,E2,B3,00,B0,00,00,AB,2B,A0,04,00,00BB,00,B3,00,00,00,00,00,00BB,00BB,00,02,02,00BB,00BB,3,15,02
02103,00,01,02,E3,B4,00,B0,00,00,AC,2B,A0,04,00,00BB,00,B3,00,00,00,00,00,00BC,00BC,00,02,02,00BB,00BB,3,15,02
02104,00,01,02,E4,B4,00,B0,00,00,AC,2B,A0,04,00,00BC,00,B4,00,00,00,00,00,00BC,00BC,00,02,02,00BC,00BC,3,15,02
02105,00,01,02,E5,B5,00,B0,00,00,AD,2B,A0,04,00,00BC,00,B4,00,00,00,00,00,00BD,00BD,00,02,02,00BC,00BC,3,15,02
02106,00,01,02,E6,B5,00,B0,00,00,AD,2B,A0,04,00,00BD,00,B5,00,00,00,00,00,00BD,00BD,00,02,02,00BD,00BD,3,15,02
02107,00,01,02,E7,B6,00,B0,00,00,AE,2B,A0,04,00,00BD,00,B5,00,00,00,00,00,00BE,00BE,00,02,02,00BD,00BD,3,15,02
02108,00,01,02,E8,B6,00,B0,00,00,AE,2B,A0,04,00,00BE,00,B6,00,00,00,00,00,00BE,00BE,00,02,02,00BE,00BE,3,15,02
02109,00,01,02,E9,B7,00,B0,00,00,AF,2B,A0,04,00,00BE,00,B6,00,00,00,00,00,00BF,00BF,00,02,02,00BE,00BE,3,15,02
02110,00,01,02,EA,B7,00,B0,00,00,AF,2B,A0,04,00,00BF,00,B7,00,00,00,00,00,00BF,00BF,00,02,02,00BF,00BF,3,15,02
02111,00,01,02,EB,B8,00,B0,00,00,B0,20,00,04,00,00BF,00,B7,00,00,00,00,00,00C0,00C0,00,02,02,00BF,00BF,3,16,02
02112,00,01,02,EC,B8,00,B0,00,00,B0,20,00,04,00,00C0,00,B8,00,00,00,00,00,00C0,00C0,00,02,02,00C0,00C0,3,16,02
02113,00,01,02,ED,B9,00,B0,00,00,B1,20,00,04,00,00C0,00,B8,00,00,00,00,00,00C1,00C1,00,02,02,00C0,00C0,6,16,02
02114,00,01,02,EE,B9,00,B0,00,00,B1,20,00,04,00,00C1,00,B9,00,00,00,00,00,00C1,00C1,00,02,02,00C1,00C1,6,16,02
02115,00,01,02,EF,BA,00,B0,00,00,B2,20,00,04,00,00C1,00,B9,00,00,00,00,00,00C2,00C2,00,02,02,00C1,00C1,6,16,02
02116,00,01,02,F0,BA,00,B0,00,00,B2,20,00,04,00,00C2,00,BA,00,00,00,00,00,00C2,00C2,00,02,02,00C2,00C2,6,16,02
02117,00,01,02,F1,BB,00,B0,00,00,B3,20,00,04,00,00C2,00,BA,00,00,00,00,00,00C3,00C3,00,02,02,00C2,00C2,6,16,02
02118,00,01,02,F2,BB,00,B0,00,00,B3,20,00,04,00,00C3,00,BB,00,00,00,00,00,00C3,00C3,00,02,02,00C3,00C3,6,16,02
02119,00,01,02,F3,BC,00,B0,00,00,B4,20,00,04,00,00C3,00,BB,00,00,00,00,00,00C4,00C4,00,02,02,00C3,00C3,6,16,02
02120,00,01,02,F4,BC,00,B0,00,00,B4,20,00,04,00,00C4,00,BC,00,00,00,00,00,00C4,00C4,00,02,02,00C4,00C4,6,16,02
02121,00,01,02,F5,BD,00,B0,00,00,B5,20,00,04,00,00C4,00,BC,00,00,00,00,00,00C5,00C5,00,02,02,00C4,00C4,6,16,02
02122,00,01,02,F6,BD,00,B0,00,00,B5,20,00,04,00,00C5,00,BD,00,00,00,00,00,00C5,00C5,00,02,02,00C5,00C5,6,16,02
02123,00,01,02,F7,BE,00,B0,00,00,B6,20,00,04,00,00C5,00,BD,00,00,00,00,00,00C6,00C6,00,02,02,00C5,00C5,6,16,02
02124,00,01,02,F8,BE,00,B0,00,00,B6,20,00,04,00,00C6,00,BE,00,00,00,00,00,00C6,00C6,00,02,02,00C6,00C6,6,16,02
02125,00,01,02,F9,BF,00,B0,00,00,B7,20,00,04,00,00C6,00,BE,00,00,00,00,00,00C7,00C7,00,02,02,00C6,00C6,6,16,02
02126,00,01,02,FA,BF,00,B0,00,00,B7,20,00,04,00,00C7,00,BF,00,00,00,00,00,00C7,00C7,00,02,02,00C7,00C7,6,16,02
02127,00,01,02,FB,C0,00,B0,00,00,B8,20,20,04,00,00C7,00,BF,00,00,00,00,00,00C8,00C8,00,02,02,00C7,00C7,6,17,02
02128,00,01,02,FC,C0,00,B0,00,00,B8,20,20,04,00,00C8,00,C0,00,00,00,00,00,00C8,00C8,00,02,02,00C8,00C8,6,17,02
