# label=nes system=NES ramDomain=nil start=1600 end=3200 step=1
# frame,gameMode,phase,subphase,frameCtr,curVScroll,curHScroll,ppuCtrl,switchReq,tileBufSel,lineCounter,vramHi,vramLo,textIndex,objYTick,vsram0,ppuScrlX,ppuScrlY,hintQCount,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,spriteVisible,attrIndex,itemRow
01600,00,01,01,28,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01601,00,01,01,29,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01602,00,01,01,2A,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01603,00,01,01,2B,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01604,00,01,01,2C,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01605,00,01,01,2D,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01606,00,01,01,2E,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01607,00,01,01,2F,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01608,00,01,01,30,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01609,00,01,01,31,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01610,00,01,01,32,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01611,00,01,01,33,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01612,00,01,01,34,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01613,00,01,01,35,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01614,00,01,01,36,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01615,00,01,01,37,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01616,00,01,01,38,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01617,00,01,01,39,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01618,00,01,01,3A,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01619,00,01,01,3B,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01620,00,01,01,3C,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01621,00,01,01,3D,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01622,00,01,01,3E,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01623,00,01,01,3F,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01624,00,01,01,40,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01625,00,01,01,41,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01626,00,01,01,42,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01627,00,01,01,43,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01628,00,01,01,44,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01629,00,01,01,45,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01630,00,01,01,46,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01631,00,01,01,47,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01632,00,01,01,48,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01633,00,01,01,49,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01634,00,01,01,4A,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01635,00,01,01,4B,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01636,00,01,01,4C,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01637,00,01,01,4D,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01638,00,01,01,4E,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01639,00,01,01,4F,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01640,00,01,01,50,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01641,00,01,01,51,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01642,00,01,01,52,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01643,00,01,01,53,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01644,00,01,01,54,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01645,00,01,01,55,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01646,00,01,01,56,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01647,00,01,01,57,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01648,00,01,01,58,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01649,00,01,01,59,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01650,00,01,01,5A,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
01651,00,01,01,5B,08,00,B0,00,00,00,29,00,00,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,0,00,00
