# frame,gameMode,phase,subphase,curV,ppuCtrl,switchReq
1,00,00,00,00,00,00
22,00,00,00,00,30,00
24,00,00,00,00,B0,00
26,00,00,00,00,30,00
37,00,00,02,00,B0,00
38,00,00,00,00,B0,00
39,00,00,00,00,30,00
45,00,00,00,00,B0,00
554,00,00,01,00,B0,00
989,00,01,00,00,B0,00
990,00,01,00,00,30,00
991,00,01,01,00,30,00
992,00,01,02,00,30,00
993,00,01,00,10,32,01
1000,00,01,00,11,B2,00
1002,00,01,00,12,B2,00
1004,00,01,00,13,B2,00
1006,00,01,00,14,B2,00
1008,00,01,00,15,B2,00
1010,00,01,00,16,B2,00
1012,00,01,00,17,B2,00
1014,00,01,00,18,B2,00
1016,00,01,00,19,B2,00
1018,00,01,00,1A,B2,00
1020,00,01,00,1B,B2,00
1022,00,01,00,1C,B2,00
1024,00,01,00,1D,B2,00
1026,00,01,00,1E,B2,00
1028,00,01,00,1F,B2,00
1030,00,01,00,20,B2,00
1032,00,01,00,21,B2,00
1034,00,01,00,22,B2,00
1036,00,01,00,23,B2,00
1038,00,01,00,24,B2,00
1040,00,01,00,25,B2,00
1042,00,01,00,26,B2,00
1044,00,01,00,27,B2,00
1046,00,01,00,28,B2,00
1048,00,01,00,29,B2,00
1050,00,01,00,2A,B2,00
1052,00,01,00,2B,B2,00
1054,00,01,00,2C,B2,00
1056,00,01,00,2D,B2,00
1058,00,01,00,2E,B2,00
1060,00,01,00,2F,B2,00
1062,00,01,00,30,B2,00
1064,00,01,00,31,B2,00
1066,00,01,00,32,B2,00
1068,00,01,00,33,B2,00
1070,00,01,00,34,B2,00
1072,00,01,00,35,B2,00
1074,00,01,00,36,B2,00
1076,00,01,00,37,B2,00
1078,00,01,00,38,B2,00
1080,00,01,00,39,B2,00
1082,00,01,00,3A,B2,00
1084,00,01,00,3B,B2,00
1086,00,01,00,3C,B2,00
1088,00,01,00,3D,B2,00
1090,00,01,00,3E,B2,00
1092,00,01,00,3F,B2,00
1094,00,01,00,40,B2,00
1096,00,01,00,41,B2,00
1098,00,01,00,42,B2,00
1100,00,01,00,43,B2,00
1102,00,01,00,44,B2,00
1104,00,01,00,45,B2,00
1106,00,01,00,46,B2,00
1108,00,01,00,47,B2,00
1110,00,01,00,48,B2,00
1112,00,01,00,49,B2,00
1114,00,01,00,4A,B2,00
1116,00,01,00,4B,B2,00
1118,00,01,00,4C,B2,00
1120,00,01,00,4D,B2,00
1122,00,01,00,4E,B2,00
1124,00,01,00,4F,B2,00
1126,00,01,00,50,B2,00
1128,00,01,00,51,B2,00
1130,00,01,00,52,B2,00
1132,00,01,00,53,B2,00
1134,00,01,00,54,B2,00
1136,00,01,00,55,B2,00
1138,00,01,00,56,B2,00
1140,00,01,00,57,B2,00
1142,00,01,00,58,B2,00
1144,00,01,00,59,B2,00
1146,00,01,00,5A,B2,00
1148,00,01,00,5B,B2,00
1150,00,01,00,5C,B2,00
1152,00,01,00,5D,B2,00
1154,00,01,00,5E,B2,00
1156,00,01,00,5F,B2,00
1158,00,01,00,60,B2,00
1160,00,01,00,61,B2,00
1162,00,01,00,62,B2,00
1164,00,01,00,63,B2,00
1166,00,01,00,64,B2,00
1168,00,01,00,65,B2,00
1170,00,01,00,66,B2,00
1172,00,01,00,67,B2,00
1174,00,01,00,68,B2,00
1176,00,01,00,69,B2,00
1178,00,01,00,6A,B2,00
1180,00,01,00,6B,B2,00
1182,00,01,00,6C,B2,00
1184,00,01,00,6D,B2,00
1186,00,01,00,6E,B2,00
1188,00,01,00,6F,B2,00
1190,00,01,00,70,B2,00
1192,00,01,00,71,B2,00
1194,00,01,00,72,B2,00
1196,00,01,00,73,B2,00
1198,00,01,00,74,B2,00
1200,00,01,00,75,B2,00
1202,00,01,00,76,B2,00
1204,00,01,00,77,B2,00
1206,00,01,00,78,B2,00
1208,00,01,00,79,B2,00
1210,00,01,00,7A,B2,00
1212,00,01,00,7B,B2,00
1214,00,01,00,7C,B2,00
1216,00,01,00,7D,B2,00
1218,00,01,00,7E,B2,00
1220,00,01,00,7F,B2,00
1222,00,01,00,80,B2,00
1224,00,01,00,81,B2,00
1226,00,01,00,82,B2,00
1228,00,01,00,83,B2,00
1230,00,01,00,84,B2,00
1232,00,01,00,85,B2,00
1234,00,01,00,86,B2,00
1236,00,01,00,87,B2,00
1238,00,01,00,88,B2,00
1240,00,01,00,89,B2,00
1242,00,01,00,8A,B2,00
1244,00,01,00,8B,B2,00
1246,00,01,00,8C,B2,00
1248,00,01,00,8D,B2,00
1250,00,01,00,8E,B2,00
1252,00,01,00,8F,B2,00
1254,00,01,00,90,B2,00
1256,00,01,00,91,B2,00
1258,00,01,00,92,B2,00
1260,00,01,00,93,B2,00
1262,00,01,00,94,B2,00
1264,00,01,00,95,B2,00
1266,00,01,00,96,B2,00
1268,00,01,00,97,B2,00
1270,00,01,00,98,B2,00
1272,00,01,00,99,B2,00
1274,00,01,00,9A,B2,00
1276,00,01,00,9B,B2,00
1278,00,01,00,9C,B2,00
1280,00,01,00,9D,B2,00
1282,00,01,00,9E,B2,00
1284,00,01,00,9F,B2,00
1286,00,01,00,A0,B2,00
1288,00,01,00,A1,B2,00
1290,00,01,00,A2,B2,00
1292,00,01,00,A3,B2,00
1294,00,01,00,A4,B2,00
1296,00,01,00,A5,B2,00
1298,00,01,00,A6,B2,00
1300,00,01,00,A7,B2,00
1302,00,01,00,A8,B2,00
1304,00,01,00,A9,B2,00
1306,00,01,00,AA,B2,00
1308,00,01,00,AB,B2,00
1310,00,01,00,AC,B2,00
1312,00,01,00,AD,B2,00
1314,00,01,00,AE,B2,00
1316,00,01,00,AF,B2,00
1318,00,01,00,B0,B2,00
1320,00,01,00,B1,B2,00
1322,00,01,00,B2,B2,00
1324,00,01,00,B3,B2,00
1326,00,01,00,B4,B2,00
1328,00,01,00,B5,B2,00
1330,00,01,00,B6,B2,00
1332,00,01,00,B7,B2,00
1334,00,01,00,B8,B2,00
1336,00,01,00,B9,B2,00
1338,00,01,00,BA,B2,00
1340,00,01,00,BB,B2,00
1342,00,01,00,BC,B2,00
1344,00,01,00,BD,B2,00
1346,00,01,00,BE,B2,00
1348,00,01,00,BF,B2,00
1350,00,01,00,C0,B2,00
1352,00,01,00,C1,B2,00
1354,00,01,00,C2,B2,00
1356,00,01,00,C3,B2,00
1358,00,01,00,C4,B2,00
