frame,curVScroll,curHScroll,curPpuCtrl,switchNTReq,gameMode,isSprite0Active,demoPhase,demoSubphase,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy
850,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,B1,00,01
851,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,B0,00,01
852,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,AF,00,01
853,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,AE,00,01
854,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,AD,00,01
855,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,AC,00,01
856,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,AB,00,01
857,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,AA,00,01
858,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A9,00,01
859,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A8,00,01
860,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A7,00,01
861,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A6,00,01
862,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A5,00,01
863,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A4,00,01
864,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A3,00,01
865,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A2,00,01
866,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A1,00,01
867,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,A0,00,01
868,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,9F,00,01
869,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,9E,00,01
870,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,9D,00,01
871,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,9C,00,01
872,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,9B,00,01
873,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,9A,00,01
874,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,99,00,01
875,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,98,00,01
876,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,97,00,01
877,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,96,00,01
878,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,95,00,01
879,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,94,00,01
880,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,93,00,01
881,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,92,00,01
882,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,91,00,01
883,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,90,00,01
884,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,8F,00,01
885,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,8E,00,01
886,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,8D,00,01
887,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,8C,00,01
888,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,8B,00,01
889,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,8A,00,01
890,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,89,00,01
891,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,88,00,01
892,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,87,00,01
893,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,86,00,01
894,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,85,00,01
895,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,84,00,01
896,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,83,00,01
897,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,82,00,01
898,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,81,00,01
899,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,80,00,01
900,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,7F,00,01
901,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,7E,00,01
902,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,7D,00,01
903,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,7C,00,01
904,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,7B,00,01
905,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,7A,00,01
906,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,79,00,01
907,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,78,00,01
908,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,77,00,01
909,00,00,B0,00,00,00,00,01,00,00,00,00,00,00,00,00,0D,76,00,01
