# label=nes system=NES
# frame,gameMode,phase,subphase,curV,ppuCtrl,E3_sprite0Act,E2_vsLo,58_vsHi
1,00,00,00,00,30,00,00,00
30,00,00,00,00,B0,00,00,00
60,00,00,00,00,B0,00,00,00
90,00,00,00,00,B0,00,00,00
120,00,00,00,00,B0,00,00,00
150,00,00,00,00,B0,00,00,00
180,00,00,00,00,B0,00,00,00
210,00,00,00,00,B0,00,00,00
240,00,00,00,00,B0,00,00,00
270,00,00,00,00,B0,00,00,00
300,00,00,00,00,B0,00,00,00
330,00,00,00,00,B0,00,00,00
360,00,00,00,00,B0,00,00,00
390,00,00,00,00,B0,00,00,00
420,00,00,00,00,B0,00,00,00
450,00,00,00,00,B0,00,00,00
480,00,00,00,00,B0,00,00,00
510,00,00,00,00,B0,00,00,00
540,00,00,01,00,B0,00,00,00
570,00,00,01,00,B0,00,00,00
600,00,00,01,00,B0,00,00,00
630,00,00,01,00,B0,00,00,00
660,00,00,01,00,B0,00,00,00
690,00,00,01,00,B0,00,00,00
720,00,00,01,00,B0,00,00,00
750,00,00,01,00,B0,00,00,00
780,00,00,01,00,B0,00,00,00
810,00,00,01,00,B0,00,00,00
840,00,00,01,00,B0,00,00,00
870,00,00,01,00,B0,00,00,00
900,00,00,01,00,B0,00,00,00
930,00,00,01,00,B0,00,00,00
960,00,00,01,00,B0,00,00,00
990,00,01,00,16,B2,00,00,00
1020,00,01,00,25,B2,00,00,00
1050,00,01,00,34,B2,00,00,00
1080,00,01,00,43,B2,00,00,00
1110,00,01,00,52,B2,00,00,00
1140,00,01,00,61,B2,00,00,00
1170,00,01,00,70,B2,00,00,00
1200,00,01,00,7F,B2,00,00,00
1230,00,01,00,8E,B2,00,00,00
1260,00,01,00,9D,B2,00,00,00
1290,00,01,00,AC,B2,00,00,00
1320,00,01,00,BB,B2,00,00,00
1350,00,01,00,CA,B2,00,00,00
1380,00,01,00,D9,B2,00,00,00
1410,00,01,00,E8,B2,00,00,00
1440,00,01,00,07,B0,00,00,00
1470,00,01,01,08,B0,00,00,00
1500,00,01,01,08,B0,00,00,00
1530,00,01,01,08,B0,00,00,00
1560,00,01,01,08,B0,00,00,00
1590,00,01,01,08,B0,00,00,00
1620,00,01,01,08,B0,00,00,00
1650,00,01,01,08,B0,00,00,00
1680,00,01,01,08,B0,00,00,00
1710,00,01,02,0E,B0,00,00,00
1740,00,01,02,1D,B0,00,00,00
1770,00,01,02,2C,B0,00,00,00
1800,00,01,02,3B,B0,00,00,00
1830,00,01,02,4A,B0,00,00,00
1860,00,01,02,59,B0,00,00,00
1890,00,01,02,68,B0,00,00,00
1920,00,01,02,77,B0,00,00,00
1950,00,01,02,86,B0,00,00,00
1980,00,01,02,95,B0,00,00,00
2010,00,01,02,A4,B0,00,00,00
2040,00,01,02,B3,B0,00,00,00
2070,00,01,02,C2,B0,00,00,00
2100,00,01,02,D1,B0,00,00,00
2130,00,01,02,E0,B0,00,00,00
2160,00,01,02,EF,B0,00,00,00
2190,00,01,02,0E,B2,00,00,00
2220,00,01,02,1D,B2,00,00,00
2250,00,01,02,2C,B2,00,00,00
2280,00,01,02,3B,B2,00,00,00
2310,00,01,02,4A,B2,00,00,00
2340,00,01,02,59,B2,00,00,00
2370,00,01,02,68,B2,00,00,00
2400,00,01,02,77,B2,00,00,00
2430,00,01,02,86,B2,00,00,00
2460,00,01,02,95,B2,00,00,00
2490,00,01,02,A4,B2,00,00,00
2520,00,01,02,B3,B2,00,00,00
2550,00,01,02,C2,B2,00,00,00
2580,00,01,02,D1,B2,00,00,00
2610,00,01,02,E0,B2,00,00,00
2640,00,01,02,EF,B2,00,00,00
2670,00,01,02,0E,B0,00,00,00
2700,00,01,02,1D,B0,00,00,00
2730,00,01,02,2C,B0,00,00,00
2760,00,01,02,3B,B0,00,00,00
2790,00,01,02,4A,B0,00,00,00
2820,00,01,02,59,B0,00,00,00
2850,00,01,02,68,B0,00,00,00
2880,00,01,02,77,B0,00,00,00
2910,00,01,02,86,B0,00,00,00
2940,00,01,02,95,B0,00,00,00
2970,00,01,02,A4,B0,00,00,00
3000,00,01,02,B3,B0,00,00,00
3030,00,01,02,C2,B0,00,00,00
3060,00,01,02,D1,B0,00,00,00
3090,00,01,02,E0,B0,00,00,00
3120,00,01,02,EF,B0,00,00,00
3150,00,01,02,0E,B2,00,00,00
3180,00,01,02,1D,B2,00,00,00
3210,00,01,02,2C,B2,00,00,00
3240,00,01,02,3B,B2,00,00,00
3270,00,01,02,4A,B2,00,00,00
3300,00,01,02,59,B2,00,00,00
3330,00,01,02,68,B2,00,00,00
3360,00,01,02,77,B2,00,00,00
3390,00,01,02,86,B2,00,00,00
3420,00,01,02,95,B2,00,00,00
3450,00,01,02,A4,B2,00,00,00
3480,00,01,02,B3,B2,00,00,00
3510,00,01,02,C2,B2,00,00,00
3540,00,01,02,D1,B2,00,00,00
3570,00,01,02,E0,B2,00,00,00
3600,00,01,02,EF,B2,00,00,00
3630,00,01,02,0E,B0,00,00,00
3660,00,01,02,1D,B0,00,00,00
3690,00,01,02,2C,B0,00,00,00
3720,00,01,02,3B,B0,00,00,00
3750,00,01,02,4A,B0,00,00,00
3780,00,01,02,59,B0,00,00,00
3810,00,01,02,68,B0,00,00,00
3840,00,01,02,77,B0,00,00,00
3870,00,01,02,86,B0,00,00,00
3900,00,01,02,95,B0,00,00,00
3930,00,01,02,A4,B0,00,00,00
3960,00,01,02,B3,B0,00,00,00
3990,00,01,02,C2,B0,00,00,00
