T36 state log. Just play — walk into cave, come out, close window.
f00001 mode=$FF sub=$FF room=$FF link=($FF,$FF) btns=[]
f00009 mode=$00 sub=$00 room=$00 link=($00,$00) btns=[]
f01153 mode=$00 sub=$01 room=$00 link=($00,$00) btns=[Start]
f01163 mode=$01 sub=$00 room=$00 link=($00,$00) btns=[]
f01209 mode=$01 sub=$01 room=$00 link=($00,$00) btns=[Start]
f01210 mode=$0E sub=$00 room=$00 link=($00,$00) btns=[Start]
f01213 mode=$0E sub=$00 room=$00 link=($00,$00) btns=[]
f01269 mode=$0E sub=$04 room=$00 link=($78,$2F) btns=[A]
f01273 mode=$0E sub=$04 room=$00 link=($78,$2F) btns=[]
f01279 mode=$0E sub=$04 room=$00 link=($80,$2F) btns=[A]
f01285 mode=$0E sub=$04 room=$00 link=($80,$2F) btns=[]
f01291 mode=$0E sub=$04 room=$00 link=($88,$2F) btns=[A]
f01298 mode=$0E sub=$04 room=$00 link=($88,$2F) btns=[]
f01301 mode=$0E sub=$04 room=$00 link=($90,$2F) btns=[A]
f01308 mode=$0E sub=$04 room=$00 link=($90,$2F) btns=[]
f01312 mode=$0E sub=$04 room=$00 link=($98,$2F) btns=[A]
f01319 mode=$0E sub=$04 room=$00 link=($98,$2F) btns=[]
f01336 mode=$0E sub=$04 room=$00 link=($70,$47) btns=[Select]
f01343 mode=$0E sub=$04 room=$00 link=($70,$47) btns=[]
f01346 mode=$0E sub=$04 room=$00 link=($70,$5F) btns=[Select]
f01352 mode=$0E sub=$04 room=$00 link=($70,$5F) btns=[]
f01358 mode=$0E sub=$04 room=$00 link=($70,$77) btns=[Select]
f01362 mode=$0E sub=$04 room=$00 link=($70,$77) btns=[]
f01379 mode=$00 sub=$01 room=$00 link=($70,$77) btns=[Start]
f01383 mode=$00 sub=$02 room=$00 link=($70,$77) btns=[]
f01385 mode=$01 sub=$00 room=$00 link=($70,$77) btns=[]
f01421 mode=$01 sub=$01 room=$00 link=($70,$77) btns=[Start]
f01422 mode=$02 sub=$00 room=$00 link=($70,$77) btns=[Start]
f01424 mode=$02 sub=$00 room=$00 link=($70,$77) btns=[]
f01441 mode=$03 sub=$00 room=$00 link=($70,$77) btns=[]
f01443 mode=$03 sub=$02 room=$77 link=($70,$77) btns=[]
f01528 mode=$04 sub=$00 room=$77 link=($78,$8D) btns=[]
f01530 mode=$05 sub=$00 room=$77 link=($78,$8D) btns=[]
f01548 mode=$05 sub=$00 room=$77 link=($76,$8D) btns=[Left]
f01586 mode=$05 sub=$00 room=$77 link=($44,$8D) btns=[]
f01589 mode=$05 sub=$00 room=$77 link=($42,$8D) btns=[Up]
f01639 mode=$10 sub=$00 room=$77 link=($40,$4D) btns=[Up]
f01669 mode=$10 sub=$00 room=$77 link=($40,$54) btns=[]
f01704 mode=$0B sub=$00 room=$77 link=($40,$5D) btns=[]
f01990 mode=$0B sub=$00 room=$77 link=($70,$D7) btns=[Down]
f01995 mode=$0A sub=$00 room=$77 link=($70,$DD) btns=[Down]
f02019 mode=$0A sub=$05 room=$77 link=($70,$DD) btns=[]
f02029 mode=$04 sub=$00 room=$77 link=($70,$DD) btns=[]
f02092 mode=$05 sub=$00 room=$77 link=($40,$4D) btns=[]
