frame,brightness
5,0.0,
10,0.0,
15,0.9,
20,22.4,
25,22.4,
30,22.4,
35,22.4,
40,22.4,
45,22.4,
50,22.4,
55,22.4,
60,22.4,
65,22.4,
70,22.4,
75,22.4,
80,22.4,
85,22.4,
90,22.4,
95,22.4,
100,22.4,
105,22.4,
110,22.4,
115,22.4,
120,22.4,
125,22.4,
130,22.4,
135,22.4,
140,22.4,
145,22.4,
150,22.4,
155,22.4,
160,22.4,
165,22.4,
170,22.4,
175,22.4,
180,22.4,
185,22.4,
190,22.4,
195,22.4,
200,22.4,
205,22.4,
210,22.4,
215,22.4,
220,22.4,
225,22.4,
230,22.4,
235,22.4,
240,22.4,
245,22.4,
250,22.4,
255,22.4,
260,22.4,
265,22.4,
270,22.5,
275,22.5,
280,22.5,
285,22.7,
290,23.5,
295,24.1,
300,24.4,
305,24.3,
310,24.2,
315,24.3,
320,24.3,
325,24.3,
330,24.1,
335,23.8,
340,23.3,
345,23.2,
350,23.1,
355,23.1,
360,23.0,
365,23.0,
370,23.1,
375,23.0,
380,22.0,
385,21.3,
390,20.6,
395,20.5,
400,20.7,
405,20.6,
410,20.2,
415,20.0,
420,19.6,
425,19.6,
430,19.8,
435,19.7,
440,19.5,
445,18.9,
450,17.8,
455,17.6,
460,17.5,
465,17.5,
470,17.5,
475,17.0,
480,16.2,
485,16.1,
490,15.9,
495,16.1,
500,16.5,
505,16.2,
510,15.4,
515,14.9,
520,14.3,
525,14.8,
530,15.6,
535,15.9,
540,15.4,
545,14.7,
550,14.0,
555,14.2,
560,14.1,
565,14.0,
570,13.6,
575,12.9,
580,12.2,
585,12.1,
590,11.9,
595,12.1,
600,11.8,
605,11.1,
610,10.5,
615,10.1,
620,10.0,
625,10.4,
630,10.3,
635,10.0,
640,9.5,
645,9.0,
650,8.9,
655,9.0,
660,8.7,
665,8.8,
670,8.8,
675,8.8,
680,9.2,
685,9.2,
690,9.0,
695,9.1,
700,8.7,
705,8.4,
710,8.3,
715,8.1,
720,8.2,
725,8.3,
730,7.9,
735,7.4,
740,6.5,
745,6.2,
750,6.4,
755,6.6,
760,6.8,
765,7.1,
770,7.2,
775,7.3,
780,7.4,
785,7.3,
790,7.3,
795,7.6,
800,8.1,
805,8.5,
810,8.9,
815,8.8,
820,8.8,
825,8.8,
830,8.7,
835,8.8,
840,8.8,
845,8.8,
850,8.9,
855,8.8,
860,8.3,
865,8.1,
870,7.7,
875,7.6,
880,7.9,
885,8.0,
890,8.2,
895,8.5,
900,8.7,
905,8.8,
910,8.8,
915,8.7,
920,8.8,
925,9.2,
930,9.9,
935,10.5,
940,10.5,
945,10.1,
950,10.0,
955,10.0,
960,10.0,
965,10.0,
970,9.6,
975,9.1,
980,8.5,
985,8.3,
990,7.9,
995,7.9,
1000,7.6,
1005,7.6,
1010,7.9,
1015,7.9,
1020,8.1,
1025,8.4,
1030,8.4,
1035,8.5,
1040,8.6,
1045,8.4,
1050,8.7,
1055,9.0,
1060,9.3,
1065,9.7,
1070,9.5,
1075,9.3,
1080,9.2,
1085,9.0,
1090,8.9,
1095,8.9,
1100,8.8,
1105,8.8,
1110,8.9,
1115,8.5,
1120,8.2,
1125,7.9,
1130,7.7,
1135,7.8,
1140,7.9,
1145,7.9,
1150,8.2,
1155,8.2,
1160,8.3,
1165,8.4,
1170,8.3,
1175,8.3,
1180,8.7,
1185,8.9,
1190,9.6,
1195,9.8,
1200,9.6,
1205,9.7,
1210,9.6,
1215,9.3,
1220,9.3,
1225,9.2,
1230,9.2,
1235,9.3,
1240,9.1,
1245,8.6,
1250,8.1,
1255,7.7,
1260,7.7,
1265,7.8,
1270,7.7,
1275,7.7,
1280,7.9,
1285,8.0,
1290,8.3,
1295,8.5,
1300,8.5,
1305,8.7,
1310,8.7,
1315,8.6,
1320,8.8,
1325,8.9,
1330,9.4,
1335,9.8,
1340,9.9,
1345,10.0,
1350,10.4,
1355,10.5,
1360,10.6,
1365,10.6,
1370,9.9,
1375,9.3,
1380,8.5,
1385,8.2,
1390,8.2,
1395,8.3,
1400,8.2,
1405,8.2,
1410,8.3,
1415,8.2,
1420,8.3,
1425,8.3,
1430,8.3,
1435,8.5,
1440,8.7,
1445,8.7,
1450,8.7,
1455,8.6,
1460,8.5,
1465,8.4,
1470,8.8,
1475,9.3,
1480,9.9,
1485,10.3,
1490,10.8,
1495,11.0,
1500,10.8,
1505,10.4,
1510,10.0,
1515,10.0,
1520,10.0,
1525,10.0,
1530,10.0,
1535,10.0,
1540,10.0,
1545,10.0,
1550,9.9,
1555,10.0,
1560,10.0,
1565,10.0,
1570,10.3,
1575,10.4,
1580,10.6,
1585,10.8,
1590,10.7,
1595,10.7,
1600,10.5,
1605,10.4,
1610,10.5,
1615,10.8,
1620,11.2,
1625,11.5,
1630,10.9,
1635,10.4,
1640,10.2,
1645,9.9,
1650,9.6,
1655,9.6,
1660,9.5,
1665,9.5,
1670,9.6,
1675,9.5,
1680,9.6,
1685,9.6,
1690,9.5,
1695,9.7,
1700,9.9,
1705,9.9,
1710,10.3,
1715,10.4,
1720,10.6,
1725,10.6,
1730,10.3,
1735,10.2,
1740,10.3,
1745,10.4,
1750,11.0,
1755,11.2,
1760,11.3,
1765,11.6,
1770,11.4,
1775,10.9,
1780,10.5,
1785,10.1,
1790,9.4,
1795,9.2,
1800,8.8,
1805,8.7,
1810,8.9,
1815,8.8,
1820,8.8,
1825,8.9,
1830,8.7,
1835,8.8,
1840,9.0,
1845,9.1,
1850,9.4,
1855,9.5,
1860,9.6,
1865,9.9,
1870,9.9,
1875,9.7,
1880,9.7,
1885,9.6,
1890,9.9,
1895,10.2,
1900,10.5,
1905,11.0,
1910,11.7,
1915,11.3,
1920,10.5,
1925,10.0,
1930,9.4,
1935,9.0,
1940,8.5,
1945,8.4,
1950,8.4,
1955,8.4,
1960,8.4,
1965,8.4,
1970,8.4,
1975,8.4,
1980,8.5,
1985,8.6,
1990,8.9,
1995,9.2,
2000,9.4,
2005,9.6,
2010,9.7,
2015,9.5,
2020,9.3,
2025,9.1,
2030,9.1,
2035,9.3,
2040,9.5,
2045,9.8,
2050,10.2,
2055,10.5,
2060,10.2,
2065,9.8,
2070,9.4,
2075,9.4,
2080,9.4,
2085,9.4,
2090,9.4,
2095,9.4,
2100,9.4,
2105,9.4,
2110,9.4,
2115,9.4,
2120,9.4,
