frame,brightness
5,40.0,
10,40.0,
15,0.0,DARKER
20,0.0,
25,0.0,
30,219.0,BRIGHTER
35,154.1,DARKER
40,155.1,
45,155.1,
50,154.2,
55,154.2,
60,152.8,
65,152.0,
70,152.0,
75,152.9,
80,152.9,
85,152.8,
90,154.2,
95,154.2,
100,155.1,
105,155.1,
110,154.1,
115,152.9,
120,152.0,
125,152.0,
130,152.0,
135,152.8,
140,152.9,
145,152.9,
150,154.2,
155,155.1,
160,155.0,
165,155.1,
170,154.2,
175,152.9,
180,152.0,
185,151.9,
190,152.9,
195,152.9,
200,152.9,
205,152.9,
210,154.1,
215,155.1,
220,155.1,
225,154.2,
230,152.9,
235,152.8,
240,152.0,
245,152.0,
250,152.9,
255,152.9,
260,152.8,
265,154.2,
270,155.1,
275,155.1,
280,155.1,
285,154.1,
290,152.9,
295,152.0,
300,152.0,
305,152.0,
310,152.8,
315,152.9,
320,152.9,
325,154.2,
330,155.1,
335,155.0,
340,154.2,
345,154.2,
350,152.9,
355,152.0,
360,151.9,
365,152.9,
370,152.9,
375,152.9,
380,154.2,
385,154.1,
390,155.1,
395,155.1,
400,154.2,
405,152.9,
410,151.9,
415,152.0,
420,152.0,
425,152.9,
430,152.9,
435,152.8,
440,154.2,
445,155.1,
450,155.1,
455,155.1,
460,154.1,
465,152.9,
470,152.0,
475,152.0,
480,152.9,
485,152.8,
490,152.9,
495,152.9,
500,154.2,
505,155.1,
510,155.0,
515,154.2,
520,152.9,
525,152.9,
530,152.0,
535,151.9,
540,152.9,
545,154.1,
550,154.2,
555,154.7,
560,153.7,
565,154.7,
570,153.3,
575,128.5,
580,61.7,DARKER
585,18.9,DARKER
590,19.0,
595,18.8,
600,19.0,
605,19.1,
610,18.9,
615,19.0,
620,18.8,
625,19.0,
630,19.1,
635,18.9,
640,19.0,
645,18.8,
650,19.0,
655,19.1,
660,18.9,
665,19.0,
670,18.8,
675,19.0,
680,19.1,
685,18.9,
690,19.0,
695,18.8,
700,19.0,
705,19.1,
710,18.9,
715,19.0,
720,18.8,
725,19.0,
730,19.1,
735,18.9,
740,19.0,
745,18.8,
750,19.0,
755,19.1,
760,18.9,
765,19.0,
770,18.8,
775,17.2,
780,17.3,
785,0.0,
790,0.0,
795,0.0,
800,0.0,
805,0.0,
810,0.0,
815,0.0,
820,0.0,
825,0.0,
830,0.0,
835,0.0,
840,0.0,
845,0.0,
850,0.0,
855,0.0,
860,0.0,
865,0.0,
870,0.0,
875,0.0,
880,0.0,
885,0.0,
890,0.0,
895,0.0,
900,0.0,
905,0.0,
910,0.0,
915,0.0,
920,0.0,
925,0.0,
930,0.0,
935,0.0,
940,0.0,
945,0.0,
950,0.0,
955,0.0,
960,0.0,
965,0.0,
970,0.0,
975,0.0,
980,0.0,
985,0.0,
990,0.0,
995,0.0,
1000,0.0,
1005,0.0,
1010,0.0,
1015,0.0,
1020,0.0,
1025,0.0,
1030,0.1,
1035,0.3,
1040,0.9,
1045,1.1,
1050,1.2,
1055,1.2,
1060,1.3,
1065,1.3,
1070,1.3,
1075,1.4,
1080,2.0,
1085,2.7,
1090,3.8,
1095,4.1,
1100,4.0,
1105,4.0,
1110,4.2,
1115,4.7,
1120,5.7,
1125,6.1,
1130,6.2,
1135,6.2,
1140,6.2,
1145,6.6,
1150,7.7,
1155,8.3,
1160,8.5,
1165,8.5,
1170,8.4,
1175,8.7,
1180,9.5,
1185,10.1,
1190,10.7,
1195,10.7,
1200,10.5,
1205,10.6,
1210,11.4,
1215,12.0,
1220,12.9,
1225,12.9,
1230,12.9,
1235,12.9,
1240,13.4,
1245,14.2,
1250,15.4,
1255,15.6,
1260,15.6,
1265,15.6,
1270,15.8,
1275,16.4,
1280,17.3,
1285,17.7,
1290,17.9,
1295,17.8,
1300,17.8,
1305,18.3,
1310,19.1,
1315,19.7,
1320,19.9,
1325,19.8,
1330,19.8,
1335,20.1,
1340,20.8,
1345,21.4,
1350,21.9,
1355,21.9,
1360,21.9,
1365,21.9,
1370,22.2,
1375,22.4,
1380,22.7,
1385,22.7,
1390,22.8,
1395,22.8,
1400,23.0,
1405,23.2,
1410,23.6,
1415,23.7,
1420,23.7,
1425,23.7,
1430,23.8,
1435,24.1,
1440,25.0,
1445,25.5,
1450,25.5,
1455,25.5,
1460,25.5,
1465,25.5,
1470,25.5,
1475,25.5,
1480,25.5,
1485,25.5,
1490,25.5,
1495,25.5,
1500,25.5,
1505,25.5,
1510,25.5,
1515,25.5,
1520,25.5,
1525,25.5,
1530,25.5,
1535,25.5,
1540,25.5,
1545,25.5,
1550,25.5,
1555,25.5,
1560,25.5,
1565,25.5,
1570,25.5,
1575,25.5,
1580,25.5,
1585,25.5,
1590,25.5,
1595,25.5,
1600,25.5,
1605,25.5,
1610,25.5,
1615,25.5,
1620,25.5,
1625,25.5,
1630,25.5,
1635,25.5,
1640,25.5,
1645,25.5,
1650,25.5,
1655,25.5,
1660,25.5,
1665,25.5,
1670,25.5,
1675,25.5,
1680,25.5,
1685,25.5,
1690,25.5,
1695,25.5,
1700,25.5,
1705,25.6,
1710,25.5,
1715,25.4,
1720,25.5,
1725,25.5,
1730,25.5,
1735,25.3,
1740,24.7,
1745,24.5,
1750,24.3,
1755,24.2,
1760,24.2,
1765,24.2,
1770,24.1,
1775,24.3,
1780,24.0,
1785,23.1,
1790,22.1,
1795,21.6,
1800,21.6,
1805,21.7,
1810,21.5,
1815,21.0,
1820,20.2,
1825,19.6,
1830,19.6,
1835,20.3,
1840,21.4,
1845,21.9,
1850,21.0,
1855,20.1,
1860,19.7,
1865,19.8,
1870,19.7,
1875,19.7,
1880,18.9,
1885,18.2,
1890,17.7,
1895,17.6,
1900,17.6,
1905,17.7,
1910,16.9,
1915,16.3,
1920,15.6,
1925,15.2,
1930,15.4,
1935,15.6,
1940,15.2,
1945,14.6,
1950,13.4,
1955,12.8,
1960,13.1,
1965,13.0,
1970,12.8,
1975,12.7,
1980,12.2,
1985,12.3,
1990,12.8,
1995,12.8,
2000,13.0,
2005,13.1,
2010,11.9,
2015,11.4,
2020,11.1,
2025,10.9,
2030,11.2,
2035,11.1,
2040,10.2,
2045,9.7,
2050,9.0,
2055,9.0,
2060,9.1,
2065,9.1,
2070,9.0,
2075,9.0,
2080,8.7,
2085,8.8,
2090,8.8,
2095,8.6,
2100,8.7,
2105,8.6,
2110,8.6,
2115,9.0,
2120,9.0,
2125,8.9,
2130,9.0,
2135,8.8,
2140,7.8,
2145,7.4,
2150,7.1,
2155,7.0,
2160,7.1,
2165,7.1,
2170,7.1,
2175,7.1,
2180,7.0,
2185,7.1,
2190,7.2,
2195,7.3,
2200,7.5,
2205,7.6,
2210,7.6,
2215,7.8,
2220,7.7,
2225,7.7,
2230,8.0,
2235,8.2,
2240,8.8,
2245,9.2,
2250,9.0,
2255,9.0,
2260,9.1,
2265,9.0,
2270,9.2,
2275,9.3,
2280,8.2,
2285,7.4,
2290,6.6,
2295,6.4,
2300,6.5,
2305,6.6,
2310,6.4,
2315,6.5,
2320,6.5,
2325,6.6,
2330,6.8,
2335,6.8,
2340,6.9,
2345,7.1,
2350,6.9,
2355,7.0,
2360,7.6,
2365,8.1,
2370,9.3,
2375,9.5,
2380,9.2,
2385,9.1,
2390,9.0,
2395,8.9,
2400,9.0,
2405,9.0,
2410,8.9,
2415,9.1,
2420,9.0,
2425,8.3,
2430,7.7,
2435,7.3,
2440,6.9,
2445,7.0,
2450,6.7,
2455,6.8,
2460,7.0,
2465,7.0,
2470,7.1,
2475,7.2,
2480,7.0,
2485,7.1,
2490,7.5,
2495,7.8,
2500,8.4,
2505,8.3,
2510,8.1,
2515,8.1,
2520,7.7,
2525,7.6,
2530,7.8,
2535,7.7,
2540,7.7,
2545,7.8,
2550,7.3,
2555,7.0,
2560,6.7,
2565,6.5,
2570,6.6,
2575,6.7,
2580,6.6,
2585,6.7,
2590,6.7,
2595,6.7,
2600,6.9,
2605,6.8,
2610,6.8,
2615,7.0,
2620,7.4,
2625,7.8,
2630,8.4,
2635,8.3,
2640,8.5,
2645,8.3,
2650,8.2,
2655,8.3,
2660,8.3,
2665,8.2,
2670,8.4,
2675,8.3,
2680,7.6,
2685,7.3,
2690,6.9,
2695,6.8,
2700,7.0,
2705,7.0,
2710,7.0,
2715,7.2,
2720,7.2,
2725,7.2,
2730,7.3,
2735,7.2,
2740,7.3,
2745,7.7,
2750,8.2,
2755,8.9,
2760,9.3,
